acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.0323,https://api.spotify.com/v1/audio-analysis/2aI2k39nfa3KFsa4JclQzw,0.671,209355,0.859,2aI2k39nfa3KFsa4JclQzw,0,4,0.267,-3.922,0,0.0833,0.56206875,139.931,4,https://api.spotify.com/v1/tracks/2aI2k39nfa3KFsa4JclQzw,audio_features,spotify:track:2aI2k39nfa3KFsa4JclQzw,0.389,
0.318,https://api.spotify.com/v1/audio-analysis/6BxJLJw228OY5BFerPGl7z,0.516,297501,0.529,6BxJLJw228OY5BFerPGl7z,0,10,0.198,-6.596,1,0.0257,0.49983125,129.973,4,https://api.spotify.com/v1/tracks/6BxJLJw228OY5BFerPGl7z,audio_features,spotify:track:6BxJLJw228OY5BFerPGl7z,0.295,
0.0861,https://api.spotify.com/v1/audio-analysis/2wVDWtLKXunswWecARNILj,0.751,169567,0.642,2wVDWtLKXunswWecARNILj,0,3,0.0953,-5.165,0,0.087,0.28153125,95.045,4,https://api.spotify.com/v1/tracks/2wVDWtLKXunswWecARNILj,audio_features,spotify:track:2wVDWtLKXunswWecARNILj,0.388,
0.154,https://api.spotify.com/v1/audio-analysis/7GbAp0HKPQW7WnFJAzMoRk,0.711,204516,0.517,7GbAp0HKPQW7WnFJAzMoRk,0,11,0.149,-7.695,1,0.0391,0.43715625,119.945,4,https://api.spotify.com/v1/tracks/7GbAp0HKPQW7WnFJAzMoRk,audio_features,spotify:track:7GbAp0HKPQW7WnFJAzMoRk,0.294,
0.104,https://api.spotify.com/v1/audio-analysis/34ob61cxp34Sf7KHK6RnSU,0.595,214607,0.57,34ob61cxp34Sf7KHK6RnSU,0,5,0.0899,-6.232,0,0.12,0.21830625,84.929,4,https://api.spotify.com/v1/tracks/34ob61cxp34Sf7KHK6RnSU,audio_features,spotify:track:34ob61cxp34Sf7KHK6RnSU,0.721,
0.519,https://api.spotify.com/v1/audio-analysis/0YyM8aEdbjGfLWPn6fdcn7,0.696,241030,0.262,0YyM8aEdbjGfLWPn6fdcn7,0,11,0.0669,-15.073,1,0.031,0.21254375,84.007,4,https://api.spotify.com/v1/tracks/0YyM8aEdbjGfLWPn6fdcn7,audio_features,spotify:track:0YyM8aEdbjGfLWPn6fdcn7,0.265,
0.00116,https://api.spotify.com/v1/audio-analysis/0GU5GuJQQEnnREO2FxnVPT,0.79,199874,0.853,0GU5GuJQQEnnREO2FxnVPT,4.23E-05,11,0.329,-4.564,0,0.0665,0.4687375,124.998,4,https://api.spotify.com/v1/tracks/0GU5GuJQQEnnREO2FxnVPT,audio_features,spotify:track:0GU5GuJQQEnnREO2FxnVPT,0.713,
0.952,https://api.spotify.com/v1/audio-analysis/3efCao3RLbsz52LQ66o8Ac,0.491,287500,0.101,3efCao3RLbsz52LQ66o8Ac,2.39E-06,0,0.129,-15.418,1,0.0531,0.2273,86.368,3,https://api.spotify.com/v1/tracks/3efCao3RLbsz52LQ66o8Ac,audio_features,spotify:track:3efCao3RLbsz52LQ66o8Ac,0.312,
0.695,https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh,0.358,211467,0.557,5uCax9HTNlzGybIStD3vDh,0,10,0.0902,-7.398,1,0.059,0.21901875,85.043,4,https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh,audio_features,spotify:track:5uCax9HTNlzGybIStD3vDh,0.494,
0.165,https://api.spotify.com/v1/audio-analysis/6NFKf8vBApSvtzkapYmnVR,0.686,222447,0.322,6NFKf8vBApSvtzkapYmnVR,0.0296,6,0.0809,-13.2,1,0.0369,0.6623875,155.982,4,https://api.spotify.com/v1/tracks/6NFKf8vBApSvtzkapYmnVR,audio_features,spotify:track:6NFKf8vBApSvtzkapYmnVR,0.511,
