acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.721,https://api.spotify.com/v1/audio-analysis/79MWhuYapVlBQ4ozGVdO6e,0.558,212062,0.38,79MWhuYapVlBQ4ozGVdO6e,0,4,0.119,-10.697,0,0.0471,0.29591875,97.347,4,https://api.spotify.com/v1/tracks/79MWhuYapVlBQ4ozGVdO6e,audio_features,spotify:track:79MWhuYapVlBQ4ozGVdO6e,0.361
0.179,https://api.spotify.com/v1/audio-analysis/4ktTv8OPQDbahR4opPanNq,0.521,287733,0.938,4ktTv8OPQDbahR4opPanNq,0,8,0.408,-7.996,0,0.326,0.21104375,83.767,4,https://api.spotify.com/v1/tracks/4ktTv8OPQDbahR4opPanNq,audio_features,spotify:track:4ktTv8OPQDbahR4opPanNq,0.714
0.143,https://api.spotify.com/v1/audio-analysis/1lrTzjqtdxztnZSJutpBha,0.787,244268,0.858,1lrTzjqtdxztnZSJutpBha,0,11,0.314,-4.705,0,0.152,0.54345625,136.953,4,https://api.spotify.com/v1/tracks/1lrTzjqtdxztnZSJutpBha,audio_features,spotify:track:1lrTzjqtdxztnZSJutpBha,0.623
0.137,https://api.spotify.com/v1/audio-analysis/0YammaEkYSeo9vQYZ1OwS6,0.703,198947,0.66,0YammaEkYSeo9vQYZ1OwS6,0,10,0.192,-5.119,0,0.123,0.28144375,95.031,4,https://api.spotify.com/v1/tracks/0YammaEkYSeo9vQYZ1OwS6,audio_features,spotify:track:0YammaEkYSeo9vQYZ1OwS6,0.79
0.189,https://api.spotify.com/v1/audio-analysis/6atEnsEnO6g0ZDJH1gRIG9,0.73,194811,0.685,6atEnsEnO6g0ZDJH1gRIG9,1.17E-05,8,0.702,-6.939,1,0.0377,0.4568375,123.094,4,https://api.spotify.com/v1/tracks/6atEnsEnO6g0ZDJH1gRIG9,audio_features,spotify:track:6atEnsEnO6g0ZDJH1gRIG9,0.155
0.389,https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD,0.85,221543,0.353,3Fj47GNK2kUF0uaEDgXLaD,6.68E-06,7,0.8,-10.267,1,0.334,0.42544375,118.071,4,https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD,audio_features,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,0.329
0.627,https://api.spotify.com/v1/audio-analysis/51agJccRxKI5dqGJFkTojo,0.871,180984,0.561,51agJccRxKI5dqGJFkTojo,1.08E-06,1,0.0878,-7.155,1,0.0525,0.45025625,122.041,4,https://api.spotify.com/v1/tracks/51agJccRxKI5dqGJFkTojo,audio_features,spotify:track:51agJccRxKI5dqGJFkTojo,0.0951
0.438,https://api.spotify.com/v1/audio-analysis/4KA9dY8U5Ih5HTH2pq45bp,0.452,241002,0.642,4KA9dY8U5Ih5HTH2pq45bp,0,8,0.371,-6.772,0,0.0509,0.4637375,124.198,5,https://api.spotify.com/v1/tracks/4KA9dY8U5Ih5HTH2pq45bp,audio_features,spotify:track:4KA9dY8U5Ih5HTH2pq45bp,0.423
0.378,https://api.spotify.com/v1/audio-analysis/2fqlGvVkoVDCRAA8O5r6bH,0.823,240599,0.749,2fqlGvVkoVDCRAA8O5r6bH,0,2,0.079,-8.499,0,0.0619,0.48728125,127.965,4,https://api.spotify.com/v1/tracks/2fqlGvVkoVDCRAA8O5r6bH,audio_features,spotify:track:2fqlGvVkoVDCRAA8O5r6bH,0.23
0.0922,https://api.spotify.com/v1/audio-analysis/4zYPFciGobWPMa0kQQ5BQS,0.878,243926,0.695,4zYPFciGobWPMa0kQQ5BQS,0,11,0.125,-4.279,0,0.089,0.4874,127.984,4,https://api.spotify.com/v1/tracks/4zYPFciGobWPMa0kQQ5BQS,audio_features,spotify:track:4zYPFciGobWPMa0kQQ5BQS,0.36
