acousticness,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,speechiness,tempo_normalised,tempo,valence,Popularity,Language,Genre
0.383,0.73,304859,0.648,7kuRvjpeUcn6qNV9IBXC2C,0.000112,0.103,-6.405,0.378,0.86244375,187.991,0.675,85,Spanish,Hip Hop
0.327,0.7,235973,0.71,2IA8cFA46DkjgbsRG7kKbp,0,0.129,-4.835,0.0532,0.73731875,167.971,0.582,86,Spanish,Hip Hop
0.542,0.903,417920,0.675,3V8UKqhEK5zBkBb6d6ub8i,1.28E-05,0.0595,-3.445,0.214,0.29066875,96.507,0.442,86,Spanish,Latin Pop
0.556,0.826,236216,0.449,278kSqsZIiYp8p3QjYAqa8,1.85E-05,0.273,-8.33,0.0674,0.487675,128.028,0.337,87,Spanish,Hip Hop
0.315,0.754,176133,0.805,48zFZh27QU5qsrBjn4C2FA,0,0.203,-4.249,0.0752,0.27489375,93.983,0.555,87,Spanish,Latin Pop
0.22,0.834,193440,0.777,1OUPXna2MCgAt3VNmXJBtg,0.00609,0.335,-4.538,0.0593,0.4999,129.984,0.865,87,Spanish,Hip Hop
0.616,0.8,228493,0.355,7dNwJbsT0sg1le5kVugGJb,0,0.118,-10.47,0.0895,0.59955625,145.929,0.253,87,Spanish,Reggaeton
0.154,0.715,212493,0.872,1mT47pKLXUwPYGwB91GcNz,0.000146,0.11,-3.501,0.0547,0.29336875,96.939,0.682,87,Spanish,Reggaeton
0.0441,0.724,256418,0.791,2ktoFujjJtantyMoVdBJlX,6.55E-06,0.239,-5.411,0.169,0.78756875,176.011,0.856,87,Spanish,Latin Pop
0.0165,0.747,158800,0.74,2D3z17LBMJ2HEHeBFFjTLi,9.94E-05,0.101,-4.325,0.191,0.78786875,176.059,0.552,88,Spanish,Reggaeton
0.374,0.83,237013,0.71,5KbBGUpIZd6gVFUU8tqYiQ,0,0.0877,-5.523,0.326,0.27485625,93.977,0.703,88,Spanish,Latin Pop
0.184,0.8,226200,0.74,7BuHdm4lQqcyG3qTwdkxus,0,0.0558,-4.52,0.0479,0.25021875,90.035,0.775,88,Spanish,Latin Pop
0.446,0.778,213913,0.731,4T4CZ3Q4z3GG7lU720YYhM,0,0.251,-4.325,0.0399,0.26244375,91.991,0.854,88,Spanish,Latin Pop
0.291,0.788,207853,0.771,6MJUCumnQsQEKbCy28tbCP,5.62E-05,0.172,-3.206,0.0563,0.3064875,99.038,0.701,89,Spanish,Dancehall
0.265,0.75,219357,0.665,3f5lA8nnc4YYF1qf78WpHw,0,0.0515,-3.083,0.124,0.28274375,95.239,0.697,90,Spanish,Dancehall
0.113,0.805,219302,0.671,3g4UyIcQwutiG0TfW32GnX,0,0.278,-5.316,0.111,0.25611875,90.979,0.522,90,Spanish,Latin Pop
0.148,0.771,164440,0.382,5BDP2tky8oMQJPS33frKVp,0,0.104,-6.808,0.0514,0.28081875,94.931,0.535,91,Spanish,Romantic
0.437,0.79,190005,0.631,1LiN0Z98FkR1t0m8KmLcAH,0,0.158,-5.549,0.0425,0.27524375,94.039,0.889,91,Spanish,Latin Urban
0.0446,0.877,231848,0.777,059bcIhyc2SBwm6sw2AZzd,3.46E-05,0.0863,-4.246,0.117,0.325125,102.02,0.706,91,Spanish,Latin Pop
0.146,0.709,204453,0.771,0s5DNDV6LAKn2u2Ufa3VjQ,3.29E-06,0.249,-4.598,0.166,0.7750375,174.006,0.709,92,Spanish,Latin Pop
0.404,0.541,158027,0.468,1WSGTYKLEpKfNQYYW5Oymt,3.65E-06,0.358,-4.039,0.362,0.2829125,95.266,0.69,92,Spanish,Electronic
0.323,0.767,258639,0.709,6FyRXC8tJUh863JCkyWqtk,0,0.0676,-4.47,0.336,0.76245625,171.993,0.72,93,Spanish,Latin Pop
0.153,0.841,212500,0.798,4w8niZpiMy6qz1mntFA5uM,3.33E-06,0.0618,-4.206,0.229,0.287175,95.948,0.591,93,Spanish,Electronic
0.252,0.837,184436,0.791,31UjYv5vLsDkzchJOtUMtW,1.14E-06,0.188,-3.157,0.0773,0.262375,91.98,0.618,94,Spanish,Reggaeton
0.753,0.688,360960,0.62,224EVTFiLsdQignUFLvDeH,5.27E-06,0.158,-8.029,0.22,0.7501125,170.018,0.727,94,Spanish,R&B
0.0361,0.816,158400,0.754,7uH27oIt4a6cIFCA8ZPcyG,0,0.217,-2.75,0.111,0.3122875,99.966,0.533,95,Spanish,Reggaeton
0.602,0.807,258800,0.803,5W83ErFkO3aKAIS1WMi6u0,0.00853,0.136,-4.156,0.126,0.26241875,91.987,0.706,95,Spanish,Latin Pop
0.323,0.826,238200,0.773,5iwz1NiezX7WWjnCgY5TH4,0,0.143,-4.218,0.0524,0.48061875,126.899,0.761,96,Spanish,Latin Pop
0.11,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94E-06,0.0574,-2.652,0.0593,0.27493125,93.989,0.656,99,Spanish,Dancehall
