acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,rank,genre
0.542,0.903,417920,0.675,3V8UKqhEK5zBkBb6d6ub8i,1.28e-05,11,0.0595,-3.445,0,0.214,96.507,4,0.442,87,2018,81,latin
0.0791,0.36200000000000004,185200,0.882,4L9Ds4mpD3SuYoWwFUlv16,0.0,3,0.15,-3.717,1,0.0973,199.81099999999998,4,0.8640000000000001,78,2018,82,contemporary country
0.00214,0.9159999999999999,219707,0.727,4PpuH4mxL0rD35mOWaLoKS,0.000145,1,0.11800000000000001,-6.556,1,0.0861,94.99700000000001,4,0.201,70,2018,83,hip hop
0.57,0.62,250173,0.574,5tz69p7tJuGPeMGwNTxYuV,0.0,5,0.19,-7.7879999999999985,0,0.0479,100.021,4,0.35200000000000004,84,2018,84,conscious hip hop
0.10300000000000001,0.7070000000000001,278893,0.632,1LhMopPAallLeaeNutqbgS,1.09e-05,10,0.0841,-7.0310000000000015,1,0.0789,97.04,4,0.3720000000000001,78,2018,85,dance pop
0.27899999999999997,0.899,214467,0.586,3qN5qMTKyEEmiTZD38BNTT,0.0,11,0.0836,-7.8660000000000005,0,0.344,150.001,4,0.4920000000000001,79,2018,86,canadian hip hop
0.0997,0.602,199627,0.805,2ZFrEp20VO25BXYhMxh0GW,0.0,7,0.172,-6.079,1,0.0473,92.40100000000001,4,0.322,59,2018,87,contemporary country
0.556,0.9209999999999999,135090,0.537,0JP9xo3adEtGSdUEISiszL,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711,90,2018,88,emo rap
0.0788,0.799,199849,0.597,0GxQ1A5L9xnMOytbP6eKBG,5.66e-06,5,0.1,-5.131,0,0.0611,110.001,4,0.419,82,2018,89,pop
0.0364,0.595,173628,0.773,39N9RPD9MRb5WmoLzNzPeA,0.00108,9,0.33399999999999996,-4.7360000000000015,0,0.0549,180.07299999999995,4,0.711,83,2018,90,latin
0.139,0.851,129105,0.6659999999999999,5PIfH6BzcmH04RDmtzF0BN,0.0,11,0.105,-5.334,0,0.0694,134.06799999999998,4,0.0585,64,2018,91,trap music
0.225,0.47700000000000004,213993,0.61,6CTWathupIiDs7U4InHnDA,0.0,11,0.107,-5.627999999999999,0,0.14400000000000002,79.882,4,0.358,83,2018,92,dance pop
0.183,0.7909999999999999,200480,0.848,6KuqAtoeVzxAYOaMveLNpH,0.0,1,0.409,-3.4560000000000004,1,0.0506,95.0,4,0.828,81,2018,93,latin
0.883,0.669,121887,0.308,7AFASza1mXqntmGtbxXprO,0.0,11,0.0984,-10.068,1,0.028999999999999998,64.934,4,0.52,87,2018,94,emo rap
0.84,0.638,217120,0.3670000000000001,2VIPU72L6tIR4w8J8ap6Kp,0.0,4,0.0999,-7.9060000000000015,1,0.0266,71.957,4,0.21899999999999997,74,2018,95,contemporary country
0.00585,0.544,221800,0.7809999999999999,4gB7HrYHbJVJ5RFOjxmoq4,0.0,6,0.191,-6.16,0,0.0311,144.075,4,0.527,78,2018,96,contemporary country
0.0168,0.713,332301,0.831,1BuZAIO8WZpavWVbbq3Lci,0.0,1,0.11800000000000001,-4.75,0,0.15,173.94799999999995,4,0.584,80,2018,97,hip hop
0.0403,0.836,217947,0.544,76cy1WJvNGJTj78UqeA5zr,0.0,7,0.0824,-5.975,1,0.0943,97.02799999999999,4,0.51,86,2018,98,dance pop
0.0168,0.5479999999999999,185040,0.7040000000000001,7COfe3P7KgfwDwIRB8LIDw,2.25e-05,11,0.14300000000000002,-4.838,0,0.0777,104.666,4,0.28800000000000003,77,2018,99,latin
0.0622,0.7759999999999999,204347,0.78,0pqnGHJpmpxLKifKRmU6WP,0.0,10,0.081,-4.374,0,0.128,124.949,4,0.6659999999999999,89,2018,100,modern rock
0.581,0.825,233713,0.652,0FE9t6xYkqWXU2ahLh6D8X,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,4,0.9309999999999999,88,2017,1,pop
0.228,0.653,228827,0.816,6rPO02ozF3bM7NnOV4h6s2,0.0,2,0.0967,-4.353,1,0.16699999999999998,178.08599999999996,4,0.816,83,2017,2,dance pop
0.013000000000000001,0.853,206693,0.56,0KKkJNfGyhkQ5aFogxQAPU,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86,85,2017,3,dance pop
0.00028199999999999997,0.9079999999999999,177000,0.621,7KXjTSCq5nL1LoYtL7XAwS,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,0.42100000000000004,86,2017,4,conscious hip hop
0.0498,0.617,247160,0.635,6RUKPb4LETWmmr3iAEQktW,1.4400000000000001e-05,11,0.16399999999999998,-6.769,0,0.0317,103.01899999999999,4,0.446,83,2017,5,dance pop
0.061,0.927,343150,0.665,4Km5HrUvYTaSUfiSGPJeQR,0.0,11,0.12300000000000001,-5.313,1,0.244,127.07600000000001,4,0.175,79,2017,6,atl hip hop
0.414,0.748,244960,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.6609999999999999,86,2017,7,dance pop
0.46299999999999997,0.731,165387,0.469,7mldq42yDuxiUNn08nvzHO,1.04e-06,5,0.10300000000000001,-7.226,1,0.0326,98.963,4,0.631,81,2017,8,contemporary country
0.0622,0.7759999999999999,204347,0.78,0pqnGHJpmpxLKifKRmU6WP,0.0,10,0.081,-4.374,0,0.128,124.949,4,0.6659999999999999,89,2017,9,modern rock
0.215,0.63,220293,0.804,3a1lNhkSLSkpJE4MSHpDu9,0.0,6,0.253,-4.183,1,0.0363,123.146,4,0.4920000000000001,87,2017,10,pop
0.695,0.358,211467,0.557,5uCax9HTNlzGybIStD3vDh,0.0,10,0.0902,-7.398,1,0.059000000000000004,85.04299999999998,4,0.494,85,2017,11,dance pop
0.0552,0.609,288600,0.6679999999999999,3DXncPQOG4VBw3QHh3S817,0.0,7,0.16699999999999998,-4.284,1,0.0367,80.92399999999998,4,0.8109999999999999,78,2017,12,dance pop
0.00264,0.732,182707,0.75,7GX5flRQZVHRAGd6B4TmDO,0.0,11,0.109,-6.3660000000000005,0,0.231,155.096,4,0.401,86,2017,13,philly rap
0.0102,0.833,204600,0.434,0VgkVdmE4gld66l8iyGjgx,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281,82,2017,14,atl hip hop
0.0293,0.726,233902,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6,0.10400000000000001,-5.043,1,0.12300000000000001,97.985,4,0.733,85,2017,15,hip hop
0.013000000000000001,0.853,206693,0.56,0KKkJNfGyhkQ5aFogxQAPU,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86,85,2017,16,dance pop
0.253,0.69,210091,0.622,6uBhi9gBXWjanegOb2Phh0,0.0,5,0.11599999999999999,-5.025,0,0.0622,102.04,4,0.544,82,2017,17,complextro
0.0329,0.6709999999999999,204173,0.672,1OAh8uOEOvTDqkKFsKksCi,0.0,0,0.11800000000000001,-3.094,0,0.0688,97.98,4,0.632,78,2017,18,dance pop
0.142,0.794,291893,0.632,6fujklziTHa8uoM5OQSfIo,0.0,0,0.128,-6.162999999999999,1,0.0649,145.92600000000004,4,0.355,78,2017,19,hip hop
0.141,0.6779999999999999,230453,0.588,7MXVkk9YMctZqd1Srtv4MB,6.35e-06,7,0.13699999999999998,-7.015,1,0.276,186.005,4,0.486,85,2017,20,canadian contemporary r&b
0.33,0.736,219080,0.449,152lZdxL1OR0ZMW6KquMif,0.000162,1,0.0898,-11.462,0,0.425,80.126,4,0.326,85,2017,21,pop
0.109,0.775,208787,0.613,5cF0dROlMOK5uNZtivgu50,2.33e-05,3,0.134,-4.586,0,0.0542,100.066,4,0.797,83,2017,22,dance pop
0.38,0.866,199440,0.813,7JJmb5XwzOO8jgpou264Ml,0.0,11,0.0779,-4.063,0,0.0554,121.99799999999999,4,0.9690000000000001,85,2017,23,canadian pop
0.0606,0.813,220395,0.574,2771LMNxwf62FTAdpJMQfM,0.0,9,0.428,-9.401,1,0.0577,124.98200000000001,3,0.546,26,2017,24,pop
0.16699999999999998,0.743,326933,0.34700000000000003,0wXuerDYiBnERgIpbb3JBR,0.00951,1,0.10300000000000001,-11.174000000000001,1,0.121,160.143,4,0.5720000000000001,82,2017,25,atl hip hop
0.0631,0.735,245200,0.451,6yIdwnpDHufLWgQcveTPMk,1.3000000000000001e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862,79,2017,26,dance pop
0.11900000000000001,0.64,220781,0.5329999999999999,3eR23VReFzcdmS7TYCrhCe,0.0,0,0.0864,-6.596,1,0.0706,99.96799999999999,4,0.515,80,2017,27,edm
0.37799999999999995,0.746,253107,0.653,2EEeOnHehOozLq4aS0n6SL,0.0,7,0.22899999999999998,-6.745,1,0.289,75.016,4,0.672,78,2017,28,pop
0.39,0.6859999999999999,176320,0.415,0xG0SHshCStMEyNbNC5d4k,0.0,8,0.0617,-6.855,1,0.0752,114.205,4,0.446,77,2017,29,dance pop
0.0285,0.573,230227,0.7390000000000001,42ydLwx4i5V49RXHOozJZq,0.0,0,0.111,-5.74,1,0.129,97.085,4,0.451,79,2017,30,canadian contemporary r&b
0.57,0.62,250173,0.574,5tz69p7tJuGPeMGwNTxYuV,0.0,5,0.19,-7.7879999999999985,0,0.0479,100.021,4,0.35200000000000004,84,2017,31,conscious hip hop
0.0139,0.726,188174,0.431,2cOUlop2ZakjOKe4WinesN,0.0,0,0.054000000000000006,-6.666,1,0.0554,85.889,4,0.86,79,2017,32,dance pop
0.0777,0.503,224000,0.632,5oO3drDxtziYU2H1X23ZIp,1.3000000000000001e-05,4,0.0758,-4.854,0,0.0492,171.92,3,0.369,80,2017,33,dance pop
0.426,0.773,269187,0.8190000000000001,3dhjNA0jGA8vHBQ1VdD6vV,0.0,0,0.0679,-5.9460000000000015,0,0.11800000000000001,92.99,4,0.585,81,2017,34,canadian contemporary r&b
0.105,0.77,222360,0.5670000000000001,0SGkqnVQo9KPytSri1H6cF,0.0,2,0.125,-5.6979999999999995,1,0.175,81.477,4,0.26,79,2017,35,detroit hip hop
0.22,0.8740000000000001,204502,0.4970000000000001,4Ro98RCK90oHqqSZUnTFq5,0.0,6,0.0761,-5.484,1,0.0562,106.023,4,0.542,82,2017,36,dance pop
0.10800000000000001,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0.0,9,0.196,-9.433,0,0.42,133.987,4,0.605,76,2017,37,canadian hip hop
0.34299999999999997,0.7829999999999999,214265,0.61,5o3GnrcFtvkdf3zFznuSbA,0.0,7,0.0983,-6.124,1,0.0696,100.04700000000001,4,0.418,75,2017,38,pop
0.204,0.7659999999999999,211853,0.7090000000000001,1JbR9RDP3ogVNEWFgNXAjh,1.4099999999999999e-05,9,0.126,-6.471,0,0.12300000000000001,128.07,4,0.506,77,2017,39,dance pop
0.0232,0.461,261154,0.8340000000000001,6PCUP3dWmTjcTtXY02oFdT,1.1400000000000001e-05,2,0.14,-4.868,1,0.0989,135.007,4,0.47100000000000003,82,2017,40,pop
0.214,0.6970000000000001,239293,0.691,1PSBzsahR2AKwLJgx8ehBj,0.0,2,0.185,-4.757,1,0.146,137.85299999999998,4,0.305,76,2017,41,hip hop
0.0215,0.653,221507,0.6579999999999999,72jbDTw1piOOj770jWNeaG,1.66e-06,2,0.0939,-6.428,1,0.0304,99.99,4,0.21899999999999997,73,2017,42,dance pop
0.0513,0.65,226160,0.736,1pKeFVVUOPjFsOABub0OaV,0.0,6,0.235,-5.84,0,0.22899999999999998,159.174,4,0.612,83,2017,43,dance pop
0.406,0.72,251088,0.763,5knuzwU65gJK7IF5yJsuaW,0.0,9,0.18,-4.0680000000000005,0,0.0523,101.965,4,0.742,81,2017,44,dance pop
0.0417,0.8009999999999999,163253,0.795,6QgjcU0zLnzq5OrUoSZ3OK,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,0.754,84,2017,45,indie pop
0.0771,0.652,205947,0.713,0lYBSQXN6rCTvUZvg9S0lU,1.0199999999999999e-05,8,0.14400000000000002,-5.311,1,0.0368,100.023,4,0.152,83,2017,46,dance pop
0.0223,0.7020000000000001,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0.0,11,0.28300000000000003,-6.9170000000000025,0,0.265,144.004,4,0.873,83,2017,47,dance pop
0.0151,0.884,220307,0.34600000000000003,2fQrGHiQOvpL9UgPvtYy6G,7.04e-06,8,0.0871,-8.228,0,0.35100000000000003,75.016,4,0.376,83,2017,48,atl hip hop
0.0123,0.667,236002,0.83,6JV2JOEocMgcZxYSZelKcc,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701,79,2017,49,dance pop
