year,rank,artist,id,genres,popularity,followers
2015,83,Rich Homie Quan,5lHRUCqkQZCIWeX7xG4sYT,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",73,1877913
2015,84,Major Lazer,738wLrAtLtCtFOLvQBXOXp,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'tropical house']",81,5296413
2015,85,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,"['contemporary country', 'country', 'country road']",76,2656923
2015,86,Neil Diamond,7mEIug7XUlQHikrFxjTWes,"['adult standards', 'brill building pop', 'christmas', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",70,713930
2015,87,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,"['neo mellow', 'stomp and holler', 'uk americana']",80,4970823
2015,88,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,"['dance pop', 'electropop', 'pop']",84,8055002
2015,89,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,5242826
2015,90,Usher,23zg3TcAtWQy7J6upgbUnj,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",82,6853502
2015,91,Grateful Dead,4TMHGUX5WI7OOm53PqSDAT,"['blues-rock', 'classic rock', 'cosmic american', 'folk rock', 'jam band', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'southern rock']",71,689789
2015,92,Garth Brooks,4BclNkZtAUq1YrYNzye3N7,"['contemporary country', 'country', 'country road']",53,606113
2015,93,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'talent show']",78,4812647
2015,94,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'pop rap', 'rap']",91,9560311
2015,95,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['dance pop', 'pop']",91,7262683
2015,96,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,"['contemporary country', 'country', 'country road', 'modern country rock']",70,1059207
2015,97,Jeremih,3KV3p5EY4AvKxOlhGHORLg,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",82,3295608
2015,98,T-Wayne,4MIULe6tfg2loNzBy5B9eu,['houston rap'],54,138025
