acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.037,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,0.791,214847,0.862,7ef4DlsgrMEH11cDZd32M6,2.19E-05,9,0.0814,-3.24,0,0.11,0.4624625,123.994,4,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,audio_features,spotify:track:7ef4DlsgrMEH11cDZd32M6,0.592
0.105,https://api.spotify.com/v1/audio-analysis/710n65RKfq0DtcRxxoQoV4,0.766,175385,0.614,710n65RKfq0DtcRxxoQoV4,0,5,0.147,-8.209,0,0.154,0.66245,155.992,4,https://api.spotify.com/v1/tracks/710n65RKfq0DtcRxxoQoV4,audio_features,spotify:track:710n65RKfq0DtcRxxoQoV4,0.57
0.082,https://api.spotify.com/v1/audio-analysis/5VY7U4CAQ92wvnYJbfP9jg,0.682,176552,0.543,5VY7U4CAQ92wvnYJbfP9jg,6.86E-06,9,0.0963,-7.242,1,0.291,0.774875,173.98,4,https://api.spotify.com/v1/tracks/5VY7U4CAQ92wvnYJbfP9jg,audio_features,spotify:track:5VY7U4CAQ92wvnYJbfP9jg,0.19
0.488,https://api.spotify.com/v1/audio-analysis/2R9myEfsr5R7clnWUX01FU,0.735,166395,0.487,2R9myEfsr5R7clnWUX01FU,0,5,0.429,-12.016,0,0.397,0.25605,90.968,4,https://api.spotify.com/v1/tracks/2R9myEfsr5R7clnWUX01FU,audio_features,spotify:track:2R9myEfsr5R7clnWUX01FU,0.604
0.0623,https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac,0.791,156347,0.565,5icOoE6VgqFKohjWWNp0Ac,0,5,0.156,-3.933,0,0.0439,0.31225625,99.961,4,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,audio_features,spotify:track:5icOoE6VgqFKohjWWNp0Ac,0.181
0.327,https://api.spotify.com/v1/audio-analysis/3KLygy1YWhmrQx0GRs7IOx,0.687,194408,0.785,3KLygy1YWhmrQx0GRs7IOx,0,1,0.203,-4.65,1,0.0333,0.3502875,106.046,4,https://api.spotify.com/v1/tracks/3KLygy1YWhmrQx0GRs7IOx,audio_features,spotify:track:3KLygy1YWhmrQx0GRs7IOx,0.655
0.178,https://api.spotify.com/v1/audio-analysis/5lijCHPFtCJqRQY1MwbwA7,0.562,183147,0.807,5lijCHPFtCJqRQY1MwbwA7,0,6,0.219,-5.144,0,0.321,0.3367125,103.874,3,https://api.spotify.com/v1/tracks/5lijCHPFtCJqRQY1MwbwA7,audio_features,spotify:track:5lijCHPFtCJqRQY1MwbwA7,0.375
0.163,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,0.833,149520,0.539,6MWtB6iiXyIwun0YzU6DFP,2.10E-06,11,0.101,-7.399,0,0.178,0.31216875,99.947,4,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,audio_features,spotify:track:6MWtB6iiXyIwun0YzU6DFP,0.385
0.197,https://api.spotify.com/v1/audio-analysis/2CdCs9y04oDuYCF4ewNzI7,0.774,242560,0.813,2CdCs9y04oDuYCF4ewNzI7,0.00233,5,0.122,-5.569,0,0.122,0.343725,104.996,4,https://api.spotify.com/v1/tracks/2CdCs9y04oDuYCF4ewNzI7,audio_features,spotify:track:2CdCs9y04oDuYCF4ewNzI7,0.351
0.556,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,158040,0.479,3KkXRkHbMCARz0aVfEt68P,0,2,0.0703,-5.574,1,0.0466,0.24944375,89.911,4,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913
0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290,0.792,2dpaYNEQHiRxtZbfNsse99,0,5,0.167,-2.749,1,0.0452,0.31259375,100.015,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671
