acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.541,https://api.spotify.com/v1/audio-analysis/60oJSn5MTG2VNvCJKwd65M,0.732,226160,0.46,60oJSn5MTG2VNvCJKwd65M,0,0,0.0896,-8.629,1,0.104,0.11239375,67.983,4,https://api.spotify.com/v1/tracks/60oJSn5MTG2VNvCJKwd65M,audio_features,spotify:track:60oJSn5MTG2VNvCJKwd65M,0.405,
0.156,https://api.spotify.com/v1/audio-analysis/3HcKAD0mL8ZEFzxhaNRSzq,0.717,198066,0.52,3HcKAD0mL8ZEFzxhaNRSzq,0.00172,10,0.154,-7.062,1,0.084,0.5618375,139.894,4,https://api.spotify.com/v1/tracks/3HcKAD0mL8ZEFzxhaNRSzq,audio_features,spotify:track:3HcKAD0mL8ZEFzxhaNRSzq,0.359,
0.0455,https://api.spotify.com/v1/audio-analysis/7Cw97917dvg5xm6XMAA4Y2,0.792,170707,0.777,7Cw97917dvg5xm6XMAA4Y2,5.34E-05,8,0.293,-4.402,0,0.0454,0.5440625,137.05,4,https://api.spotify.com/v1/tracks/7Cw97917dvg5xm6XMAA4Y2,audio_features,spotify:track:7Cw97917dvg5xm6XMAA4Y2,0.696,
0.0497,https://api.spotify.com/v1/audio-analysis/4Fs1sEg9Mwn6vykFD89xvc,0.682,209180,0.711,4Fs1sEg9Mwn6vykFD89xvc,0,5,0.0986,-5.781,1,0.112,0.187,79.92,4,https://api.spotify.com/v1/tracks/4Fs1sEg9Mwn6vykFD89xvc,audio_features,spotify:track:4Fs1sEg9Mwn6vykFD89xvc,0.515,
0.298,https://api.spotify.com/v1/audio-analysis/2aD5ESGyEhXnXdoOsZvsR0,0.732,198537,0.791,2aD5ESGyEhXnXdoOsZvsR0,0,1,0.175,-5.642,1,0.191,0.45688125,123.101,4,https://api.spotify.com/v1/tracks/2aD5ESGyEhXnXdoOsZvsR0,audio_features,spotify:track:2aD5ESGyEhXnXdoOsZvsR0,0.609,
0.74,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,0.652,169354,0.557,2qxmye6gAegTMjLKEBoR3d,0,1,0.124,-5.714,0,0.0318,0.62545625,150.073,4,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,audio_features,spotify:track:2qxmye6gAegTMjLKEBoR3d,0.483,
0.101,https://api.spotify.com/v1/audio-analysis/4MmTsaYqv9QR3yzbMeiNS5,0.885,180520,0.601,4MmTsaYqv9QR3yzbMeiNS5,0,3,0.157,-7.02,0,0.218,0.40019375,114.031,4,https://api.spotify.com/v1/tracks/4MmTsaYqv9QR3yzbMeiNS5,audio_features,spotify:track:4MmTsaYqv9QR3yzbMeiNS5,0.77,
0.296,https://api.spotify.com/v1/audio-analysis/5WHTFyqSii0lmT9R21abT8,0.674,178480,0.881,5WHTFyqSii0lmT9R21abT8,3.01E-06,9,0.0793,-2.853,1,0.147,0.3062125,98.994,4,https://api.spotify.com/v1/tracks/5WHTFyqSii0lmT9R21abT8,audio_features,spotify:track:5WHTFyqSii0lmT9R21abT8,0.234,
0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0,1,0.0881,-10.732,0,0.334,0.5628,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327,
0.241,https://api.spotify.com/v1/audio-analysis/6v0lAdFF4haL8xjBIUjtOw,0.673,201818,0.752,6v0lAdFF4haL8xjBIUjtOw,4.51E-05,2,0.0813,-3.572,0,0.0561,0.78748125,175.997,4,https://api.spotify.com/v1/tracks/6v0lAdFF4haL8xjBIUjtOw,audio_features,spotify:track:6v0lAdFF4haL8xjBIUjtOw,0.797,
